               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.037126,            0.011855,            0.075075,             0.61696,             0.71151,             0.72971,             0.58131,            0.016511,           0.0038239,            0.041513,           0.0097178,           0.0097178,           0.0097178
                  36,             0.03722,            0.011828,            0.074978,             0.62921,             0.70868,             0.73306,             0.58382,            0.016513,           0.0038223,            0.041249,           0.0097011,           0.0097011,           0.0097011
                  37,            0.036829,            0.011823,            0.074758,              0.6392,             0.70724,             0.73628,             0.58685,            0.016526,           0.0038229,            0.041007,            0.009684,            0.009684,            0.009684
                  38,            0.037038,            0.011833,            0.074332,              0.6389,             0.71377,             0.74061,             0.59027,            0.016537,           0.0038235,            0.040779,           0.0096664,           0.0096664,           0.0096664
                  39,            0.037158,            0.011811,            0.072747,             0.64989,             0.71242,             0.74447,             0.59377,            0.016554,           0.0038218,            0.040517,           0.0096484,           0.0096484,           0.0096484
                  40,            0.037143,            0.011843,            0.073001,             0.63513,             0.72842,             0.74541,             0.59448,            0.016547,           0.0038203,            0.040296,           0.0096299,           0.0096299,           0.0096299
                  41,            0.037286,            0.011689,            0.072663,             0.64464,             0.72696,             0.74728,             0.59622,             0.01655,           0.0038185,            0.040094,            0.009611,            0.009611,            0.009611
                  42,            0.037367,            0.011752,            0.071931,             0.65119,              0.7271,             0.75045,              0.5988,            0.016532,           0.0038165,            0.039852,           0.0095916,           0.0095916,           0.0095916
                  43,            0.037096,            0.011798,            0.071814,             0.65727,             0.72554,              0.7535,             0.60126,            0.016534,           0.0038149,            0.039579,           0.0095717,           0.0095717,           0.0095717
                  44,            0.037375,            0.011804,            0.072189,             0.65537,             0.73149,             0.75806,             0.60512,            0.016535,           0.0038122,             0.03935,           0.0095514,           0.0095514,           0.0095514
                  45,            0.037085,            0.011824,            0.072234,             0.66039,             0.73176,             0.76082,             0.60693,            0.016536,           0.0038112,            0.039149,           0.0095307,           0.0095307,           0.0095307
                  46,            0.037608,            0.011742,            0.070828,             0.66932,             0.73034,             0.76335,             0.60884,             0.01654,           0.0038098,            0.038913,           0.0095095,           0.0095095,           0.0095095
                  47,            0.037459,            0.011772,            0.071617,             0.67698,             0.72915,             0.76602,             0.61084,            0.016561,           0.0038102,            0.038671,           0.0094879,           0.0094879,           0.0094879
                  48,            0.037239,            0.011801,            0.070874,             0.68361,             0.73207,             0.76912,             0.61319,            0.016569,           0.0038109,            0.038395,           0.0094659,           0.0094659,           0.0094659
                  49,            0.037432,            0.011823,            0.070974,             0.66787,             0.74474,             0.77094,             0.61508,            0.016604,           0.0038115,            0.038164,           0.0094434,           0.0094434,           0.0094434
                  50,            0.037545,             0.01176,            0.070829,             0.67599,             0.74252,             0.77421,             0.61689,            0.016633,           0.0038113,            0.037962,           0.0094205,           0.0094205,           0.0094205
                  51,            0.037753,             0.01174,            0.069551,             0.68156,             0.74022,             0.77699,             0.61947,            0.016646,           0.0038107,             0.03773,           0.0093971,           0.0093971,           0.0093971
                  52,            0.037296,             0.01175,            0.069651,             0.69009,              0.7405,             0.77986,             0.62226,            0.016659,           0.0038108,            0.037484,           0.0093733,           0.0093733,           0.0093733
                  53,            0.037503,            0.011737,            0.068542,             0.70344,             0.73469,             0.78284,             0.62415,            0.016667,           0.0038111,            0.037235,           0.0093491,           0.0093491,           0.0093491
                  54,            0.037814,             0.01173,            0.068391,             0.71827,             0.73025,             0.78552,              0.6268,            0.016664,           0.0038114,            0.036987,           0.0093245,           0.0093245,           0.0093245
                  55,            0.037492,            0.011827,            0.068064,             0.70347,             0.74024,             0.78769,             0.62853,            0.016679,           0.0038118,            0.036775,           0.0092995,           0.0092995,           0.0092995
